Background Message,zotero,doi,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/TIMHWJC8,10.1016/j.jenvman.2003.11.003,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/CQGUJM6D,10.1016/j.landurbplan.2011.03.006,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/G52VSNVA,10.1016/j.landurbplan.2016.12.006,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/6MRM384Q,10.1016/j.rse.2004.12.011,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/6MRM384Q,10.1016/j.rse.2004.12.011,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/EVAR22T6,10.1016/j.rser.2015.12.038,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/68W4HV5K,10.1016/j.scitotenv.2018.04.013,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/RRQ3UFGH,10.1016/j.worlddev.2014.03.006,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/H4X798U8,10.1016/s0140-6736(02)11403-6,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/WBJRPWXC,10.1016/s0140-6736(12)61151-9,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/FHXGNR68,10.1016/s0140-6736(12)61678-x,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/WYYDLJ9X,10.1016/s0140-6736(15)61085-6,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/UXTVQKSZ,10.1016/s0143-6228(98)00002-2,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/7YRRYDYN,10.1016/s0306-9192(00)00022-1,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/I5RHGD3C,10.1016/s2542-5196(17)30007-4,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/SB2FS454,10.1016/s2542-5196(18)30206-7,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/BGU96ECM,10.1017/cbo9780511753312.005,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/UL8W7U6J,10.1017/s0021859605005708,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/JTHAJG9L,10.1021/np030096l,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/SH235Z9W,10.1021/np200906s,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/PGYSCHE7,10.1029/2007gb002952,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/39F2CKWP,10.1038/454816a,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/PIK233VA,10.1038/nature03289,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/HVZE5VUN,10.1038/nature06536,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/QGIU34VK,10.1038/nature09060,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/QGIU34VK,10.1038/nature09060,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/9AYUR8HS,10.1038/nature09575,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/DX9GLM5N,10.1038/nature09689,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/DX9GLM5N,10.1038/nature09689,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/5QD9WGR2,10.1038/nature15371,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/N3BL9QCM,10.1038/nature20588,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/N3BL9QCM,10.1038/nature20588,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/QHARQI85,10.1038/nclimate1690,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/KBI4PVCM,10.1038/nclimate1990,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/8WSHSFXM,10.1038/s41586-018-0123-1,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/5WPBNFZZ,10.1038/s41586-018-0300-2,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/4QTHA4YC,10.1038/s41586-018-0411-9,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/PW26YVB5,10.1038/s41893-018-0100-6,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/TELGDQBJ,10.1038/s41893-018-0202-1,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/Y2MCZNMF,10.1073/pnas.1014743108,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/K2BCETNT,10.1073/pnas.1114773109,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/8TT8BI9Y,10.1073/pnas.1215991109,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/II277EM3,10.1073/pnas.1218503110,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/7YZ6DFR9,10.1073/pnas.1222475110,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/IAX8FXV7,10.1073/pnas.1313490111,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/I7LAMQ7R,10.1073/pnas.1423041112,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/RZTTQE5M,10.1073/pnas.1503751112,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/RZTTQE5M,10.1073/pnas.1503751112,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/A9H3B2FX,10.1073/pnas.1517685113,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/JHRGACR7,10.1073/pnas.1706103114,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/CJ5ZBCET,10.1073/pnas.1811591115,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/AWZU3VT5,10.1080/08941920252866774,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/F3GHZBWK,10.1080/11263500012331350495,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/K6H5FIR9,10.1080/14766825.2014.925908,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/88AMWCUE,10.1093/aob/mcp076,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/MIUP4ZHB,10.1093/biosci/bix014,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/U58MBHRA,10.1093/icb/36.3.287,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/DRDGB3BA,10.1093/pubmed/fdq068,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/3A2E7TD2,10.1098/rspb.2013.2768,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/A5ZG52MM,10.1098/rspb.2014.1799,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/P9ALKVUP,10.1104/pp.900074,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/75Y6TA8U,10.1111/1365-2664.12417,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/SUKNJ5PP,10.1111/1468-2451.00390,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/AHIRY2QS,10.1111/cobi.13152,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/AHIRY2QS,10.1111/cobi.13152,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/57HIU3N2,10.1111/conl.12320,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/57HIU3N2,10.1111/conl.12320,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/H2KGVLDY,10.1111/ele.12121,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/PWGYZEA2,10.1111/gcb.13988,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/PWGYZEA2,10.1111/gcb.13988,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/BQG6N3S2,10.1111/j.1365-2486.2008.01708.x,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/BVNWJNY4,10.1111/j.1365-2486.2009.01960.x,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/SD98XA99,10.1111/j.1365-2486.2009.01995.x,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/MSM5MKMY,10.1111/j.1461-0248.2010.01518.x,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/HBUVLAPL,10.1111/j.1461-0248.2011.01669.x,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/ITPSG2DU,10.1111/j.1467-2979.2008.00283.x,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/QZFUHA9U,10.1111/j.1467-9523.2006.00303.x,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/2AL35RGH,10.1111/j.1600-0706.2009.17860.x,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/2AL35RGH,10.1111/j.1600-0706.2009.17860.x,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/D96V5K9Y,10.1111/jawr.12203,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/P43GTWAH,10.1111/nyas.13322,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/6PN3ZXXR,10.1111/pbi.12444,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/6PN3ZXXR,10.1111/pbi.12444,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/PTRL2T28,10.1111/rec.12667,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/PTRL2T28,10.1111/rec.12667,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/583VZ7X5,10.1126/science.1059199,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/FGCQHXLG,10.1126/science.1127863,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/TGIFYIV7,10.1126/science.1144004,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/TGIFYIV7,10.1126/science.1144004,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/49KFXY7M,10.1126/science.1159478,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/49KFXY7M,10.1126/science.1159478,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/FT29VLZK,10.1126/science.1173146,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/QJ8ZP36A,10.1126/science.1175084,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/IQ26XPGW,10.1126/science.1230200,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/IFRJ4P5I,10.1126/science.1245279,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/TH9CFL8G,10.1126/science.1259855,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/TH9CFL8G,10.1126/science.1259855,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/TH9CFL8G,10.1126/science.1259855,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/YKSSJT2Q,10.1126/science.329.5994.900-c,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/LG7DWUIK,10.1126/science.aap8826,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/5NF3Q9D7,10.1142/s2010007812500029,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/EBZ3DH75,10.1146/annurev.energy.32.031306.102758,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/EBZ3DH75,10.1146/annurev.energy.32.031306.102758,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/PI3QZPPX,10.1146/annurev-arplant-050312-120048,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/PI3QZPPX,10.1146/annurev-arplant-050312-120048,
